ServiceName,Node,CPUs,Memory,Socket,NCPUs
consul,0,0,0,0,2
frontend,0,0,0,0,2
geo,0,0,0,0,2
jaeger,0,0,0,0,2
memcached-profile,0,0,0,0,2
memcached-rate,0,0,0,0,2
memcached-reserve,0,0,0,0,2
mongodb-geo,0,0,0,0,2
mongodb-profile,0,0,0,0,2
mongodb-rate,0,0,0,0,2
mongodb-recommendation,1,0,0,0,2
mongodb-reservation,1,0,0,0,2
mongodb-user,1,0,0,0,2
profile,1,0,0,0,2
rate,1,0,0,0,2
recommendation,1,0,0,0,2
reservation,1,0,0,0,2
search,1,0,0,0,2
user,1,0,0,0,2
