ServiceName,Node,CPUs,Memory,Socket
consul,0,0,80g,0
frontend,0,0,80g,1
geo,1,0,80g,0
jaeger,1,0,80g,1
memcached-profile,2,0,80g,0
memcached-rate,2,0,80g,1
memcached-reserve,3,0,80g,0
mongodb-geo,3,0,80g,1
mongodb-profile,4,0,80g,0
mongodb-rate,4,0,80g,1
mongodb-recommendation,5,0,80g,0
mongodb-reservation,5,0,80g,1
mongodb-user,6,0,80g,0
profile,6,0,80g,1
rate,7,0,80g,0
recommendation,7,0,80g,1
reservation,8,0,80g,0
search,8,0,80g,1
user,9,0,80g,0
