ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,8,0,0,0,4
cassandra-schema,8,0,0,-1,4
compose-post-service,8,0,0,0,4
home-timeline-redis,8,0,0,0,4
home-timeline-service,8,0,0,0,4
jaeger-agent,8,0,0,0,4
jaeger-collector,8,0,0,0,4
jaeger-query,8,0,0,0,4
media-frontend,8,0,0,0,4
media-memcached,8,0,0,0,4
media-mongodb,8,0,0,0,4
media-service,8,0,0,0,4
nginx-web-server,8,0,0,0,4
post-storage-memcached,8,0,0,0,4
post-storage-mongodb,8,0,0,0,4
post-storage-service,8,0,0,0,4
social-graph-mongodb,8,0,0,1,4
social-graph-redis,8,0,0,1,4
social-graph-service,8,0,0,1,4
text-service,8,0,0,1,4
unique-id-service,8,0,0,1,4
url-shorten-memcached,8,0,0,1,4
url-shorten-mongodb,8,0,0,1,4
url-shorten-service,8,0,0,1,4
user-memcached,8,0,0,1,4
user-mention-service,8,0,0,1,4
user-mongodb,8,0,0,1,4
user-service,8,0,0,1,4
user-timeline-mongodb,8,0,0,1,4
user-timeline-redis,8,0,0,1,4
user-timeline-service,8,0,0,1,4
