ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,8,0,0,0,2
cassandra-schema,8,0,0,-1,2
compose-post-service,8,0,0,0,2
home-timeline-redis,8,0,0,0,2
home-timeline-service,8,0,0,0,2
jaeger-agent,8,0,0,0,2
jaeger-collector,8,0,0,0,2
jaeger-query,8,0,0,0,2
media-frontend,8,0,0,0,2
media-memcached,8,0,0,0,2
media-mongodb,8,0,0,0,2
media-service,8,0,0,0,2
nginx-web-server,8,0,0,0,2
post-storage-memcached,8,0,0,0,2
post-storage-mongodb,8,0,0,0,2
post-storage-service,8,0,0,0,2
social-graph-mongodb,8,0,0,1,2
social-graph-redis,8,0,0,1,2
social-graph-service,8,0,0,1,2
text-service,8,0,0,1,2
unique-id-service,8,0,0,1,2
url-shorten-memcached,8,0,0,1,2
url-shorten-mongodb,8,0,0,1,2
url-shorten-service,8,0,0,1,2
user-memcached,8,0,0,1,2
user-mention-service,8,0,0,1,2
user-mongodb,8,0,0,1,2
user-service,8,0,0,1,2
user-timeline-mongodb,8,0,0,1,2
user-timeline-redis,8,0,0,1,2
user-timeline-service,8,0,0,1,2
